=== PARAMETRY SYMULACJI ===
chan: 10
q_max: 10
lambda: 1.0
mean: 20.0
sigma: 5.0
min: 10.0
max: 30.0
sim_time: 30

=== WYNIKI (KOLUMNY) ===
Czas[s]	Q	W	Ro
0	0	0.00	0.00
1	0	0.00	0.10
2	0	0.00	0.10
3	0	0.00	0.30
4	0	0.00	0.40
5	0	0.00	0.40
6	0	0.00	0.60
7	0	0.00	0.70
8	0	0.00	1.00
9	1	0.00	1.00
10	1	0.00	1.00
11	2	0.00	1.00
12	2	0.00	1.00
13	5	0.00	1.00
14	6	0.00	1.00
15	6	0.00	1.00
16	5	6.84	1.00
17	4	5.97	1.00
18	4	5.97	1.00
19	4	5.97	1.00
20	4	6.30	1.00
21	6	6.30	1.00
22	7	6.85	1.00
23	8	6.85	1.00
24	8	7.55	1.00
25	8	7.50	1.00
26	8	7.50	1.00
27	10	7.50	1.00
